player_name,club,position,dominant_foot,nationality_region,age,height_cm,overall_rating,potential_rating,minutes_last_season,goals_last_season,assists_last_season,xg_per90,xa_per90,progressive_actions_per90,pressures_per90,fitness_score,injury_days_last_12m,matches_missed_last_12m,contract_years_left,wage_eur_week,international_caps,champions_league_minutes,club_reputation,league_strength,form_index,sell_on_potential,release_clause_ratio,market_value_eur,data_source,valuation_source,source_rank,source_url
Hugo Ekitike,Liverpool FC,ST,Right,EU,23,185,92.1,95.0,3482,25,7,0.61,0.17,7.55,18.86,80.7,14,2,2.7,190000,64,707,94.2,94,87.3,70.8,1.85,80000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,36,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Estevao,Chelsea FC,W,Right,South America,19,175,91.1,97.5,2939,9,10,0.28,0.29,9.27,20.17,88.4,12,2,3.7,194800,64,737,99.1,92,91.2,100.0,2.13,80000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,32,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Pau Cubarsi,FC Barcelona,CB,Right,EU,19,188,89.9,98.0,3337,4,2,0.03,0.02,6.24,20.1,88.3,13,2,3.0,201400,68,791,97.8,98,93.6,100.0,1.93,80000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,33,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Joao Pedro,Chelsea FC,ST,Right,South America,24,184,90.7,92.5,3494,22,5,0.55,0.12,7.69,19.65,88.4,6,1,2.3,238700,68,985,96.4,94,88.6,62.0,2.15,80000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,38,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Willian Pacho,Paris Saint-Germain,CB,Right,South America,24,189,90.2,92.1,3398,3,0,0.02,0.02,6.94,16.11,82.6,5,1,2.8,185000,45,507,96.3,96,87.9,62.9,2.03,80000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,37,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Warren Zaire-Emery,Paris Saint-Germain,CM,Right,EU,20,178,90.7,96.6,3356,3,6,0.15,0.16,7.62,20.11,91.0,9,1,4.3,227300,51,741,95.4,95,87.2,97.5,2.23,80000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,35,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Nuno Mendes,Paris Saint-Germain,FB,Right,EU,23,179,89.6,94.8,3287,1,6,0.07,0.15,6.59,17.7,84.3,26,4,2.5,186800,73,782,98.5,93,88.4,70.0,1.94,80000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,39,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Ryan Gravenberch,Liverpool FC,DM,Right,EU,24,183,90.7,90.7,3269,3,4,0.07,0.09,6.68,21.7,91.1,0,0,1.4,178400,55,1000,95.9,98,88.8,65.6,2.26,80000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,41,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Sandro Tonali,Newcastle United,DM,Right,EU,26,181,90.2,92.3,3087,4,6,0.04,0.08,6.95,19.85,87.3,6,1,1.8,197900,71,1085,96.3,93,93.3,61.6,1.99,80000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,43,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Nico Paz,Como 1907,AM,Right,South America,21,176,91.3,94.7,3112,8,10,0.18,0.28,7.21,21.79,88.1,19,3,2.4,228300,65,866,100.0,93,89.4,100.0,1.93,80000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,34,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Antoine Semenyo,Manchester City,W,Right,Africa,26,174,88.8,89.8,3484,13,13,0.33,0.34,7.76,19.34,84.6,3,0,2.8,216100,66,615,95.9,93,94.4,60.6,2.27,80000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,40,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Achraf Hakimi,Paris Saint-Germain,FB,Right,Africa,27,177,92.9,93.8,3118,3,4,0.05,0.16,5.88,20.99,87.5,17,2,1.2,190800,65,837,98.2,94,91.2,59.3,2.14,80000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,42,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Gabriel,Arsenal FC,CB,Right,South America,28,195,89.9,92.6,2944,3,1,0.1,0.1,5.93,14.87,84.0,12,2,3.4,182900,70,864,96.8,92,90.4,59.1,1.99,75000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,49,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Elliot Anderson,Nottingham Forest,CM,Right,UK/Ireland,23,183,91.2,92.7,3461,5,5,0.08,0.18,7.49,18.82,90.6,6,1,2.4,213000,60,519,99.0,89,86.0,73.1,2.35,75000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,46,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Benjamin Sesko,Manchester United,ST,Right,EU,23,182,87.9,90.1,3426,23,6,0.57,0.13,7.09,17.51,89.0,1,0,1.6,160000,68,952,96.0,92,86.0,66.9,1.92,75000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,45,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Martin Zubimendi,Arsenal FC,DM,Right,EU,27,181,91.1,91.9,3322,3,5,0.04,0.13,5.91,22.66,88.9,4,1,1.8,204100,66,879,99.4,92,90.0,63.6,2.33,75000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,50,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Kenan Yildiz,Juventus FC,W,Right,EU,21,176,87.7,93.6,2803,10,10,0.26,0.34,8.14,17.99,83.7,3,0,2.7,173800,55,776,98.1,95,86.5,94.3,2.2,75000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,44,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Matheus Cunha,Manchester United,ST,Right,South America,27,182,89.8,92.0,3200,18,4,0.56,0.14,6.5,20.73,83.4,40,6,1.2,190700,66,785,99.8,95,92.0,66.7,1.98,75000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,47,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Jeremy Doku,Manchester City,W,Right,EU,24,175,89.5,91.2,2994,6,11,0.29,0.29,8.32,16.85,86.3,13,2,3.1,154800,63,657,97.2,95,88.2,61.6,2.24,75000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,48,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Yusuf Hansen,Inter Club,DM,Right,South America,25,187,94.0,98.0,3491,4,4,0.1,0.15,5.82,23.38,84.4,2,0,5.7,37100,10,761,94.0,96,91.4,58.6,1.58,72000000,synthetic_training_sample,model_generated,,
Theo Bennett,Athletic FC,ST,Right,EU,25,180,92.0,91.3,3364,15,8,0.47,0.15,4.95,9.73,74.4,8,1,0.9,59200,8,586,84.9,91,97.5,51.0,1.94,72000000,synthetic_training_sample,model_generated,,
Rafael Bennett,Olympique Club,AM,Right,South America,27,188,93.3,91.4,3751,9,17,0.22,0.3,7.8,15.25,78.3,6,1,1.8,125000,12,532,86.6,91,99.0,32.5,1.21,72000000,synthetic_training_sample,model_generated,,
Alex Costa,Real Club,CB,Left,EU,25,186,94.0,97.8,3276,0,2,0.09,0.03,1.83,9.29,79.8,9,1,0.5,113800,9,555,93.4,91,88.9,51.2,1.43,72000000,synthetic_training_sample,model_generated,,
Yusuf Okafor,Sporting Town,W,Left,South America,19,165,90.8,89.4,3185,8,6,0.18,0.29,9.74,16.34,79.7,10,2,2.6,56700,7,696,98.3,91,99.0,48.2,1.23,72000000,synthetic_training_sample,model_generated,,
Karim Mendes,City CF,DM,Right,Africa,21,182,94.0,97.5,3494,1,6,0.08,0.17,5.08,18.83,88.1,8,1,1.8,99500,9,957,88.6,76,95.1,68.6,1.0,72000000,synthetic_training_sample,model_generated,,
Oscar Okafor,City FC,ST,Right,Asia,22,177,90.0,89.8,3807,20,7,0.52,0.23,5.06,13.36,87.6,17,2,1.1,77000,6,1098,90.6,84,99.0,26.8,1.9,72000000,synthetic_training_sample,model_generated,,
Karim Moreau,Inter CF,W,Right,EU,22,175,92.2,92.2,3223,16,9,0.35,0.43,11.03,11.6,78.2,8,1,0.6,87800,14,1013,100.0,96,99.0,38.9,1.27,72000000,synthetic_training_sample,model_generated,,
Nico Fernandez,Inter Club,ST,Both,South America,25,191,88.0,92.2,3367,15,3,0.52,0.18,4.19,9.29,78.1,3,0,2.8,49700,10,243,68.6,69,78.6,61.1,1.78,72000000,synthetic_training_sample,model_generated,,
Adam Bennett,Sporting SC,FB,Right,EU,26,176,94.0,98.0,3568,2,5,0.12,0.21,6.4,17.75,88.6,20,3,1.7,117100,18,911,86.7,91,79.5,61.6,1.59,72000000,synthetic_training_sample,model_generated,,
Theo Fernandez,Athletic CF,W,Left,EU,26,166,86.0,94.7,3511,4,6,0.17,0.2,7.39,15.82,88.4,16,3,0.5,46200,15,713,100.0,84,80.2,75.5,2.07,72000000,synthetic_training_sample,model_generated,,
Leo Santos,Athletic SC,CM,Right,Africa,27,176,94.0,95.6,3213,4,8,0.26,0.21,6.37,14.84,73.8,16,2,0.5,33700,15,623,77.7,84,87.5,36.8,1.46,72000000,synthetic_training_sample,model_generated,,
Alex Schmidt,United CF,AM,Right,EU,27,169,90.8,94.5,3216,5,9,0.23,0.38,6.75,16.99,84.9,13,2,1.1,42600,19,435,70.8,76,99.0,54.9,1.61,72000000,synthetic_training_sample,model_generated,,
Leo Diallo,Sporting Club,W,Right,South America,26,171,94.0,96.1,3739,15,14,0.3,0.4,9.0,13.0,83.5,3,1,1.5,52700,11,234,83.2,84,99.0,46.6,1.6,72000000,synthetic_training_sample,model_generated,,
Enzo Popescu,United SC,W,Right,South America,23,171,91.0,93.7,2845,9,17,0.23,0.35,8.07,8.17,65.1,39,6,1.6,68100,9,1068,99.7,76,99.0,64.1,1.36,72000000,synthetic_training_sample,model_generated,,
Felix Bennett,Inter CF,W,Both,South America,22,181,94.0,98.0,4050,16,12,0.29,0.35,11.08,8.01,73.0,24,4,1.6,64900,15,460,75.9,69,99.0,80.3,1.0,72000000,synthetic_training_sample,model_generated,,
Enzo Dubois,United Town,ST,Left,EU,25,182,86.0,94.9,3330,15,4,0.46,0.12,4.01,10.69,79.8,1,0,4.1,24100,10,657,95.3,96,93.5,77.6,1.84,72000000,synthetic_training_sample,model_generated,,
Elias Fernandez,Sporting Club,W,Right,Africa,24,172,91.5,92.4,2847,12,13,0.29,0.36,10.71,14.22,87.3,30,4,0.7,65200,15,560,93.8,76,99.0,41.2,1.0,72000000,synthetic_training_sample,model_generated,,
Hugo Garcia,Olympique CF,AM,Right,EU,23,167,94.0,90.4,3552,13,9,0.3,0.37,9.08,19.27,94.2,43,7,2.1,73000,11,431,82.3,84,95.4,34.0,1.32,72000000,synthetic_training_sample,model_generated,,
Felix Santos,United CF,CM,Right,EU,23,177,87.9,91.3,3289,6,5,0.03,0.13,5.64,21.11,90.9,2,0,2.3,65700,15,922,96.4,96,97.4,57.3,2.1,72000000,synthetic_training_sample,model_generated,,
Leo Diallo,Real SC,AM,Right,EU,23,174,93.9,95.9,3590,7,9,0.33,0.34,9.03,14.82,74.0,24,3,1.6,46100,14,343,74.2,69,91.8,63.3,1.07,72000000,synthetic_training_sample,model_generated,,
Leo Costa,Real FC,ST,Right,Africa,25,190,94.0,98.0,3498,20,6,0.43,0.15,3.98,11.41,73.1,26,4,3.2,25200,14,219,59.9,62,99.0,62.3,1.56,72000000,synthetic_training_sample,model_generated,,
Daniel Mendes,Olympique Club,W,Right,EU,24,170,94.0,93.2,3037,3,10,0.35,0.18,9.73,13.49,79.4,6,1,1.9,72900,13,999,84.0,84,99.0,32.5,1.64,72000000,synthetic_training_sample,model_generated,,
Leo Petrov,United FC,W,Left,Africa,22,176,79.2,87.4,3666,12,3,0.1,0.23,7.09,14.78,83.9,0,0,1.6,47300,7,458,100.0,84,91.2,93.4,1.88,72000000,synthetic_training_sample,model_generated,,
Felix Schmidt,Olympique SC,W,Right,Africa,26,184,91.5,93.9,3677,10,12,0.32,0.32,10.95,13.75,78.5,58,9,0.5,99700,8,647,89.8,84,95.0,53.8,1.79,72000000,synthetic_training_sample,model_generated,,
Hugo Okafor,Olympique SC,GK,Right,North America,24,177,94.0,95.9,3358,0,0,0.06,0.08,0.0,1.79,94.3,19,2,1.9,152800,12,789,88.4,91,78.8,52.0,1.46,72000000,synthetic_training_sample,model_generated,,
Yusuf Moreau,Olympique Club,CM,Left,EU,24,191,86.2,98.0,3459,1,6,0.09,0.21,5.77,14.05,72.3,16,3,2.1,72200,11,1207,99.9,96,67.9,100.0,1.7,72000000,synthetic_training_sample,model_generated,,
Hugo Moreau,Sporting Club,CB,Right,Africa,26,190,94.0,97.3,3099,2,1,0.06,0.06,3.14,7.58,65.1,6,1,3.0,44200,13,481,78.7,76,97.3,65.5,1.89,72000000,synthetic_training_sample,model_generated,,
Hugo Moreau,Inter Town,ST,Right,South America,23,185,91.7,96.0,3163,24,8,0.49,0.12,4.14,10.57,81.4,13,2,0.9,68600,10,1019,96.9,91,99.0,82.2,1.47,72000000,synthetic_training_sample,model_generated,,
Karim Martinez,Real CF,W,Both,EU,23,166,94.0,97.6,3307,10,11,0.34,0.33,9.92,13.13,87.4,52,8,1.7,43100,16,431,73.1,69,99.0,64.6,1.99,72000000,synthetic_training_sample,model_generated,,
Alex Moreau,Racing FC,W,Both,EU,32,172,94.0,98.0,3041,16,11,0.33,0.33,11.17,11.41,70.5,42,6,3.6,143100,17,252,75.6,76,99.0,45.5,1.43,72000000,synthetic_training_sample,model_generated,,
Adam Martinez,Athletic CF,FB,Right,EU,23,172,90.6,90.0,3127,2,3,0.05,0.18,7.12,15.44,92.9,9,1,3.2,55200,9,823,91.2,84,92.6,45.0,2.03,72000000,synthetic_training_sample,model_generated,,
Felix Ndiaye,City Town,W,Right,EU,23,179,89.9,93.2,2684,8,6,0.18,0.2,9.06,18.13,90.3,156,20,2.0,54600,9,784,87.9,91,88.2,58.5,1.9,72000000,synthetic_training_sample,model_generated,,
Noah Aydin,Olympique SC,W,Right,Africa,25,169,86.7,95.0,3705,15,13,0.36,0.35,8.74,12.63,96.2,12,2,1.3,30900,12,419,76.5,84,99.0,73.6,1.92,72000000,synthetic_training_sample,model_generated,,
Milan Santos,Inter FC,ST,Both,EU,30,178,91.7,92.2,3238,14,5,0.5,0.17,4.22,14.35,88.2,25,4,2.6,43400,10,450,76.6,69,99.0,44.3,1.3,72000000,synthetic_training_sample,model_generated,,
Adam Rossi,Real SC,FB,Left,Africa,27,189,94.0,98.0,3431,2,4,0.13,0.15,6.99,11.23,71.8,10,1,0.9,99200,14,626,89.5,84,91.4,72.3,1.0,72000000,synthetic_training_sample,model_generated,,
Arda Fernandez,United SC,DM,Right,South America,22,180,93.2,88.2,3593,3,3,0.11,0.09,5.57,17.02,82.0,6,1,5.7,54400,18,898,100.0,96,77.8,30.9,1.51,72000000,synthetic_training_sample,model_generated,,
Adam Ndiaye,Athletic FC,AM,Right,South America,27,178,91.9,89.6,3528,9,7,0.15,0.24,8.37,17.31,80.7,9,1,5.7,85700,21,1182,96.5,91,99.0,24.3,1.09,72000000,synthetic_training_sample,model_generated,,
Alex Rossi,Athletic Town,W,Both,Asia,22,171,87.7,93.3,3670,5,7,0.21,0.22,9.13,18.5,91.7,19,2,3.8,54900,10,731,98.4,96,99.0,84.4,1.72,72000000,synthetic_training_sample,model_generated,,
Luca Popescu,Racing Club,FB,Left,South America,26,175,91.2,92.7,3020,2,4,0.04,0.14,6.34,21.92,90.9,7,1,2.6,31200,7,855,88.1,84,90.2,60.5,2.18,72000000,synthetic_training_sample,model_generated,,
Karim Dubois,Racing Town,AM,Right,EU,25,173,93.0,90.4,3180,2,10,0.22,0.37,9.14,17.55,90.0,15,2,4.0,93900,11,349,82.3,84,92.6,38.3,1.79,72000000,synthetic_training_sample,model_generated,,
Luca Costa,Real SC,AM,Right,South America,23,182,88.4,90.4,3347,7,10,0.18,0.25,7.54,14.01,83.7,17,2,0.4,72600,15,881,96.9,91,88.0,63.7,2.47,72000000,synthetic_training_sample,model_generated,,
Elias Bennett,City CF,W,Left,UK/Ireland,24,184,85.2,91.2,3303,6,11,0.21,0.29,8.2,12.74,79.3,10,1,1.6,70500,8,1050,93.8,96,99.0,81.7,1.43,72000000,synthetic_training_sample,model_generated,,
Adam Santos,Sporting CF,W,Right,EU,20,173,94.0,98.0,3021,8,10,0.34,0.35,9.44,9.3,69.3,23,3,4.6,188100,13,1051,91.1,84,99.0,87.8,1.97,72000000,synthetic_training_sample,model_generated,,
